"Brand,Model,QuickSlicksPart,SupertiresPart,Notes,Source"
"Carrera,NASCAR Camaro NextGen ZL1,CA105,1314,"
"Carrera,NASCAR COT,CA02 CA03,1303,"
"Carrera,NIO EP9,CB58,1408,"
"Carrera,Panoz (1:24),N/A,12412,"
"Carrera,Pantera De Tomaso,CB52,1315R,"
"Carrera,Peugeot 908 HDI FAP,CA02 CA03,1404,"
"Carrera,Plymouth Fury (1960),CB30,1301,"
"Carrera,Plymouth Roadrunner (Classic),CA06,1302,"
"Carrera,Plymouth Superbird (Classic),CA06,1302,"
"Carrera,Pontiac GTO,CB30,1301,"
"Carrera,Porsche 911 RSR,CA03,1310,"
"Carrera,Porsche 911 RSR (1:24),CA292,12401,"
"Carrera,Porsche 911 S Cabriolet,FLO2,1003,"
"Carrera,Porsche 917/30 CanAm,N/A,1305,"
"Carrera,Porsche 917K,CA21,1309,"
"Carrera,Porsche 917K (1:24),N/A,12414,"
"Carrera,Porsche 918 Spyder,FLO3,1004,"
"Carrera,Porsche 935/19 GT2,CB64,1100BRS,"
"Carrera,Porsche 935/78 Moby,CB64,1100BRS,"
"Carrera,Porsche 997 GT3 (1:24),N/A,12410,"
"Carrera,Porsche 911 GT3 R (1:24),N/A,12417,"
"Carrera,Porsche GT3 RSR,CA02,1310,"
"Carrera,Porsche GT3 (1:24),N/A,12401,NOTE: 1:24 Porsche 911 GT3 R (1:24) uses 12417"
"Carrera,Porsche RS Spyder (1:24),N/A,12413,"
"Carrera,Porsche RS Spyder,CB58,1408,"
"Carrera,Race Truck,CA21,1309,"
"Carrera,Tanker,CA21,1309,"
"Carrera,Tow Truck,CA21,1309,"
"Carrera,VW Beetle (Group 5),CA11 CA12,1312,"
"Carrera,X Bow (KTM),CA02,1310,"
"Cartrix,Alfa Romeo (Grand Prix),CB29,1204,"
"Cartrix,Aston Martin (Grand Prix),CB29,1204,"
"Cartrix,BMW Z3,CB34,1402,"
"Cartrix,BRM (Grand Prix),CB29,1204,"
"Cartrix,Bugatti (Grand Prix),CB29,1204,"
"Cartrix,Ferrari D50 (Grand Prix),CB29,1204,"
"Cartrix,Gordini (Grand Prix),CB29,1204,"
"Cartrix,Gran Prix (Vintage F1),CB29,1204,"
"Cartrix,Kurtis Kraft (Grand Prix),CB29,1204,"
